                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7962,                 8.5127,                 2.5208,                0.36387,                0.36343,                0.32031,                0.22395,                 1.0705,                 4.6442,                 3.0861,              0.0001807,              0.0001807,              0.0001807
                      2,                0.86984,                   4.27,                 2.4933,                0.51692,                0.49971,                0.50628,                 0.3554,                0.89665,                 2.6591,                 2.6709,             0.00035879,             0.00035879,             0.00035879
                      3,                0.81638,                 3.0432,                 2.4107,                0.63517,                0.64852,                0.66257,                0.45316,                 0.9681,                 2.2142,                 2.8444,             0.00052953,             0.00052953,             0.00052953
                      4,                0.88341,                 2.5129,                 2.4448,                0.65753,                0.70111,                0.68959,                0.46089,                0.99266,                 2.0571,                 2.7997,             0.00052297,             0.00052297,             0.00052297
                      5,                0.89327,                  2.297,                 2.5003,                0.70643,                 0.7065,                0.74205,                0.49746,                 1.0106,                  1.956,                 2.8208,             0.00051196,             0.00051196,             0.00051196
                      6,                0.87651,                  2.072,                  2.485,                0.72512,                0.70188,                0.75657,                0.50505,                 1.0112,                 1.9991,                  2.798,             0.00050096,             0.00050096,             0.00050096
                      7,                0.90215,                  2.007,                 2.5148,                0.71497,                0.70157,                0.74737,                0.50132,                0.98082,                 1.9893,                 2.8281,             0.00048995,             0.00048995,             0.00048995
                      8,                0.85282,                 1.9165,                 2.4986,                0.69366,                0.71821,                0.74918,                0.51526,                0.95051,                 2.0041,                 2.8147,             0.00047894,             0.00047894,             0.00047894
                      9,                0.87691,                 1.8079,                 2.5107,                0.69668,                0.73518,                0.76764,                0.51358,                0.98362,                 1.8593,                 2.8756,             0.00046793,             0.00046793,             0.00046793
                     10,                0.84777,                 1.6793,                 2.4465,                0.73071,                0.74204,                0.78486,                0.53217,                0.97809,                 1.8274,                 2.8198,             0.00045692,             0.00045692,             0.00045692
                     11,                0.86039,                 1.6786,                 2.4792,                0.74511,                0.73283,                0.78005,                0.53393,                0.96158,                 1.8918,                 2.8367,             0.00044591,             0.00044591,             0.00044591
                     12,                0.81875,                 1.5793,                 2.4628,                0.78085,                0.71687,                0.79503,                0.54077,                0.97423,                 1.8427,                 2.8375,              0.0004349,              0.0004349,              0.0004349
                     13,                0.85941,                 1.5791,                 2.4922,                0.78649,                0.73554,                0.80688,                 0.5481,                0.99469,                 1.7725,                 2.8614,             0.00042389,             0.00042389,             0.00042389
                     14,                 0.8234,                  1.478,                 2.4308,                0.79131,                0.73518,                0.82208,                0.56566,                0.97463,                 1.6821,                 2.8433,             0.00041289,             0.00041289,             0.00041289
                     15,                0.84511,                 1.5159,                 2.4543,                0.74107,                0.73805,                0.80431,                0.54599,                 1.0062,                 1.7811,                 2.8543,             0.00040188,             0.00040188,             0.00040188
                     16,                0.82609,                 1.5076,                 2.4578,                0.79604,                0.73466,                0.82051,                0.55586,                 1.0576,                 1.8017,                 2.9092,             0.00039087,             0.00039087,             0.00039087
                     17,                0.83539,                 1.4546,                 2.4398,                0.79867,                0.78837,                0.84054,                0.57813,                0.99211,                 1.6929,                 2.8488,             0.00037986,             0.00037986,             0.00037986
                     18,                0.82212,                 1.4077,                 2.4352,                0.77918,                0.78915,                0.84047,                 0.5646,                 1.0525,                 1.6535,                 2.9153,             0.00036885,             0.00036885,             0.00036885
                     19,                0.83991,                  1.409,                 2.4292,                0.76424,                 0.7474,                0.80811,                0.55789,                 1.0352,                 1.8471,                 2.8845,             0.00035784,             0.00035784,             0.00035784
                     20,                 0.8335,                 1.4101,                 2.4528,                0.78197,                0.76203,                0.83676,                0.57197,                 1.0654,                 1.7538,                 2.8863,             0.00034683,             0.00034683,             0.00034683
                     21,                0.83631,                 1.3454,                 2.4467,                0.77953,                0.77855,                0.83249,                0.56914,                 1.0285,                 1.7189,                 2.8772,             0.00033582,             0.00033582,             0.00033582
                     22,                0.81612,                 1.3365,                 2.4148,                 0.8096,                0.79207,                0.85123,                0.59289,                0.99148,                 1.6824,                 2.8378,             0.00032482,             0.00032482,             0.00032482
                     23,                0.81671,                 1.3322,                 2.3957,                0.77652,                0.78596,                0.83584,                0.57082,                 1.0248,                 1.6839,                 2.8714,             0.00031381,             0.00031381,             0.00031381
                     24,                0.82051,                 1.3007,                 2.4099,                0.81104,                0.76486,                0.83753,                0.57842,                 1.0142,                 1.6514,                 2.8478,              0.0003028,              0.0003028,              0.0003028
                     25,                0.82644,                 1.2921,                   2.41,                0.80974,                0.77123,                   0.83,                0.57405,                 1.0223,                 1.7383,                 2.8397,             0.00029179,             0.00029179,             0.00029179
                     26,                0.79913,                 1.2541,                 2.3834,                0.83722,                0.77148,                0.85228,                0.58921,                 1.0424,                 1.7122,                 2.8589,             0.00028078,             0.00028078,             0.00028078
                     27,                0.80706,                 1.2497,                 2.3695,                0.81112,                0.79985,                0.84399,                0.58763,                 1.0178,                 1.6835,                 2.8218,             0.00026977,             0.00026977,             0.00026977
                     28,                0.82532,                 1.2503,                 2.4109,                0.81663,                0.79474,                0.85194,                0.58632,                 1.0643,                 1.6223,                 2.8828,             0.00025876,             0.00025876,             0.00025876
                     29,                0.81084,                 1.2329,                 2.3749,                0.80705,                0.75829,                0.83944,                0.58447,                 1.0388,                 1.7202,                 2.8307,             0.00024775,             0.00024775,             0.00024775
                     30,                0.80774,                  1.212,                 2.3466,                0.83848,                 0.7771,                0.85867,                0.59043,                 1.0629,                 1.6375,                 2.8645,             0.00023674,             0.00023674,             0.00023674
                     31,                0.81608,                 1.2557,                 2.3615,                 0.8186,                0.78806,                0.85793,                0.59376,                 1.0506,                 1.5923,                 2.8423,             0.00022574,             0.00022574,             0.00022574
                     32,                0.81141,                 1.2187,                 2.3683,                0.80707,                0.79711,                0.85636,                0.59344,                 1.0713,                 1.6685,                  2.861,             0.00021473,             0.00021473,             0.00021473
                     33,                0.82092,                 1.2026,                 2.3679,                0.85815,                  0.778,                0.86247,                0.59505,                 1.0991,                 1.5982,                 2.8747,             0.00020372,             0.00020372,             0.00020372
                     34,                0.79962,                 1.1442,                  2.343,                0.80712,                0.78138,                0.85258,                0.58813,                 1.0953,                 1.7135,                 2.8649,             0.00019271,             0.00019271,             0.00019271
                     35,                 0.8036,                 1.1621,                 2.3277,                0.81669,                0.80205,                0.86386,                0.59441,                 1.0926,                  1.601,                 2.8644,              0.0001817,              0.0001817,              0.0001817
                     36,                0.80089,                 1.1581,                 2.3451,                 0.8235,                0.79764,                0.85794,                0.59746,                 1.0822,                 1.6261,                 2.8251,             0.00017069,             0.00017069,             0.00017069
                     37,                0.79464,                 1.1457,                  2.319,                0.82872,                0.78203,                0.85527,                0.59357,                 1.0822,                 1.6517,                 2.8358,             0.00015968,             0.00015968,             0.00015968
                     38,                0.80663,                 1.1388,                 2.3188,                0.81016,                0.79332,                0.85784,                0.59274,                 1.1096,                 1.6377,                 2.8428,             0.00014867,             0.00014867,             0.00014867
                     39,                0.77565,                 1.1024,                 2.3097,                0.82997,                0.79554,                0.85772,                 0.5945,                 1.1232,                 1.6627,                 2.8501,             0.00013767,             0.00013767,             0.00013767
                     40,                0.80865,                 1.1318,                 2.3066,                0.82337,                0.79115,                0.85773,                0.59303,                 1.1081,                 1.6299,                 2.8457,             0.00012666,             0.00012666,             0.00012666
                     41,                0.74276,                0.98434,                 2.3568,                0.82833,                0.80729,                 0.8613,                0.59336,                 1.1518,                 1.6321,                 2.8638,             0.00011565,             0.00011565,             0.00011565
                     42,                0.73204,                0.94696,                 2.3468,                0.82055,                0.78799,                0.85107,                 0.5918,                 1.1404,                 1.7157,                 2.8573,             0.00010464,             0.00010464,             0.00010464
                     43,                0.71673,                0.93692,                 2.3285,                0.84305,                0.79443,                0.85646,                 0.5932,                 1.1145,                 1.6326,                 2.8355,              9.363e-05,              9.363e-05,              9.363e-05
                     44,                0.71128,                0.95006,                 2.3194,                0.82351,                 0.8151,                0.86455,                0.60067,                  1.124,                 1.5909,                 2.8439,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     45,                0.70141,                0.91705,                 2.3001,                0.82835,                0.80888,                0.85986,                 0.5956,                 1.1388,                 1.6266,                 2.8528,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     46,                0.71035,                0.89999,                  2.305,                 0.8202,                0.80905,                0.86182,                0.59928,                 1.1582,                 1.6267,                 2.8572,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     47,                0.69834,                0.90869,                  2.292,                0.84288,                0.80066,                0.86771,                0.60498,                 1.1423,                 1.6101,                 2.8389,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                 0.7033,                0.90537,                 2.3157,                0.83146,                0.78413,                0.85791,                0.59732,                 1.1558,                 1.6784,                 2.8411,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     49,                0.70888,                0.90169,                 2.3119,                0.82446,                0.80584,                0.86631,                0.60312,                 1.1762,                 1.6188,                 2.8422,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     50,                0.69246,                0.87854,                   2.28,                0.81884,                0.81069,                0.86661,                0.60682,                 1.1641,                 1.6107,                 2.8353,             1.6569e-05,             1.6569e-05,             1.6569e-05
